Source;Target
8122;1084
8122;2172
8116;1003
8116;2004
8115;1003
8115;2004
8113;1003
8113;2002
8113;2019
8113;2167
8113;2168
8113;2169
8112;2007
8110;2004
8110;2023
8109;2003
8108;1003
8108;2002
8108;2019
8108;2107
8108;2167
8107;2006
8107;2115
8106;2006
8105;2006
8105;2115
8104;1003
8104;2006
8104;2115
8103;1003
8103;2006
8103;2030
8103;2056
8103;2115
8103;2129
8102;2006
8101;2006
8100;2001
8099;2001
8098;2001
8097;2001
8096;1006
8096;1022
8096;1027
8096;1028
8096;1030
8096;1039
8096;1041
8096;1042
8096;1051
8096;1052
8096;1053
8096;1060
8096;1062
8096;1063
8096;1065
8096;1071
8096;1073
8096;1075
8096;1076
8096;1081
8096;2008
8096;2019
8096;2029
8096;2041
8096;2050
8096;2064
8096;2073
8096;2078
8096;2083
8096;2085
8096;2093
8096;2097
8096;2098
8096;2117
8096;2154
8096;2155
8096;2162
8096;2164
8096;2165
8096;2166
8095;2007
8094;2007
8090;1006
8090;1012
8090;1020
8090;1022
8090;1027
8090;1049
8090;1063
8090;2006
8090;2015
8090;2016
8090;2054
8090;2073
8090;2085
8090;2115
8090;2146
8089;2006
8088;2006
8087;2006
8087;2041
8087;2114
8087;2115
8087;2123
8087;2124
8086;1001
8086;2006
8086;2030
8086;2034
8086;2054
8086;2107
8086;2114
8086;2119
8086;2121
8086;2124
8086;2127
8086;2173
8085;2006
8085;2115
8084;2006
8084;2102
8084;2114
8083;2006
8082;2006
8081;2006
8081;2114
8080;1078
8080;1079
8080;2006
8080;2173
8079;2006
8079;2110
8078;2006
8077;2006
8076;2006
8076;2110
8075;2006
8075;2025
8075;2123
8074;2006
8073;1007
8073;2005
8073;2028
8073;2042
8073;2096
8073;2107
8073;2108
8073;2115
8072;1006
8072;1019
8072;1022
8072;1027
8072;1033
8072;1044
8072;1051
8072;1053
8072;2005
8072;2040
8072;2042
8071;2004
8071;2005
8070;2005
8069;2005
8068;2005
8068;2023
8068;2039
8068;2042
8068;2113
8067;1009
8067;2005
8067;2073
8067;2106
8067;2119
8067;2131
8066;2005
8064;2005
8063;2005
8062;2005
8061;1001
8061;2004
8061;2119
8060;1035
8060;1040
8060;1043
8060;1054
8060;1055
8060;2004
8060;2097
8060;2131
8060;2137
8060;2158
8060;2159
8059;2004
8058;2004
8058;2007
8058;2108
8057;2004
8057;2007
8057;2108
8056;1006
8056;1007
8056;1028
8056;2004
8056;2042
8056;2068
8056;2115
8055;1008
8055;2004
8055;2023
8055;2036
8055;2039
8055;2043
8055;2092
8055;2097
8055;2109
8055;2130
8053;1030
8053;1035
8053;1040
8053;1043
8053;1048
8053;1049
8053;1050
8053;1051
8053;1052
8053;1053
8053;2004
8053;2022
8053;2023
8053;2024
8053;2029
8053;2040
8053;2050
8053;2068
8053;2078
8053;2094
8053;2107
8053;2157
8052;1012
8052;1027
8052;1028
8052;1030
8052;1039
8052;1041
8052;1042
8052;1051
8052;1052
8052;1060
8052;1071
8052;1073
8052;2004
8052;2019
8052;2056
8052;2067
8052;2073
8052;2098
8052;2118
8051;1030
8051;1039
8051;1041
8051;1042
8051;1051
8051;1052
8051;1057
8051;1058
8051;1060
8051;1073
8051;2004
8051;2013
8051;2015
8051;2019
8051;2021
8051;2032
8051;2041
8051;2063
8051;2064
8051;2068
8051;2074
8051;2083
8051;2093
8051;2094
8051;2107
8050;1006
8050;1022
8050;1027
8050;1028
8050;1039
8050;1041
8050;1042
8050;1073
8050;1074
8050;2004
8050;2019
8050;2042
8050;2053
8050;2066
8050;2083
8050;2095
8050;2108
8050;2116
8050;2120
8050;2132
8050;2145
8050;2163
8049;1018
8049;1019
8049;2004
8049;2039
8049;2081
8049;2107
8048;2004
8047;2003
8047;2045
8047;2096
8047;2146
8046;1003
8046;2003
8046;2115
8046;2124
8045;2003
8045;2023
8045;2042
8044;2003
8044;2108
8043;1001
8043;2003
8043;2054
8043;2119
8042;1017
8042;2003
8042;2030
8042;2144
8041;2003
8040;2003
8039;2003
8038;2003
8038;2041
8037;2003
8037;2031
8037;2041
8037;2044
8037;2045
8037;2056
8037;2081
8037;2108
8036;2003
8035;2003
8034;1006
8034;1009
8034;1011
8034;1012
8034;1013
8034;1014
8034;1015
8034;1022
8034;1027
8034;1028
8034;1066
8034;1082
8034;2003
8034;2021
8034;2034
8034;2042
8034;2072
8034;2082
8034;2084
8034;2089
8034;2096
8034;2106
8034;2112
8034;2119
8034;2121
8034;2122
8034;2127
8034;2131
8034;2132
8034;2133
8034;2134
8034;2135
8034;2136
8034;2137
8034;2138
8034;2139
8034;2140
8034;2141
8034;2142
8034;2143
8034;2149
8034;2162
8034;2170
8034;2171
8033;2003
8033;2115
8032;1027
8032;1028
8032;1030
8032;2003
8032;2031
8032;2108
8031;2002
8030;2002
8029;1008
8029;2002
8029;2018
8029;2023
8029;2039
8029;2050
8029;2059
8029;2080
8029;2109
8029;2116
8029;2130
8028;2002
8028;2081
8027;2002
8027;2055
8027;2090
8027;2103
8026;2002
8026;2081
8024;1018
8024;1019
8024;1027
8024;1030
8024;1033
8024;1044
8024;1046
8024;1047
8024;1048
8024;1050
8024;1051
8024;1052
8024;1053
8024;1057
8024;1058
8024;1064
8024;1065
8024;1066
8024;1067
8024;1068
8024;1069
8024;2002
8024;2022
8024;2027
8024;2033
8024;2036
8024;2037
8024;2038
8024;2046
8024;2047
8024;2048
8024;2049
8024;2051
8024;2052
8024;2057
8024;2058
8024;2060
8024;2061
8024;2062
8024;2068
8024;2069
8024;2070
8024;2076
8024;2077
8024;2079
8024;2080
8024;2081
8024;2086
8024;2087
8024;2088
8024;2091
8024;2092
8024;2093
8024;2094
8024;2097
8024;2099
8024;2101
8024;2105
8024;2117
8024;2118
8024;2122
8024;2140
8024;2147
8024;2148
8024;2149
8024;2150
8024;2151
8024;2152
8024;2154
8024;2160
8024;2161
8023;1018
8023;1019
8023;1033
8023;1044
8023;1051
8023;1053
8023;1057
8023;1058
8023;1059
8023;2002
8023;2016
8023;2022
8023;2035
8023;2040
8023;2058
8023;2078
8023;2104
8022;1083
8022;2002
8021;1035
8021;1040
8021;1043
8021;1061
8021;2002
8021;2019
8021;2030
8021;2034
8021;2054
8021;2063
8021;2071
8021;2115
8021;2120
8021;2144
8021;2153
8020;1005
8020;1006
8020;2002
8020;2023
8020;2039
8019;1006
8019;1022
8019;1027
8019;1035
8019;1040
8019;1043
8019;1061
8019;1062
8019;1063
8019;2002
8019;2015
8019;2021
8019;2022
8019;2024
8019;2026
8019;2040
8019;2053
8019;2061
8019;2063
8019;2078
8019;2085
8019;2093
8019;2094
8019;2097
8019;2156
8018;1006
8018;1022
8018;1027
8018;1030
8018;1039
8018;1041
8018;1042
8018;1051
8018;1052
8018;1053
8018;1073
8018;2002
8018;2015
8018;2019
8018;2029
8018;2041
8018;2063
8018;2065
8018;2081
8017;1005
8017;2002
8017;2053
8016;2002
8016;2017
8016;2021
8016;2115
8016;2145
8015;2001
8014;1078
8014;2001
8014;2108
8013;2001
8013;2115
8013;2124
8012;2001
8012;2102
8011;1078
8011;2001
8010;1078
8010;2001
8010;2007
8010;2107
8010;2108
8010;2115
8010;2126
8010;2151
8010;2173
8009;1079
8009;2001
8009;2005
8009;2123
8009;2125
8008;2001
8008;2025
8007;2001
8007;2025
8006;2001
8006;2123
8005;1078
8005;2001
8004;2001
8003;1078
8003;1079
8003;2001
8003;2111
8003;2120
8003;2123
8003;2124
8003;2173
8002;1078
8002;2001
8002;2111
8002;2144
8001;1001
8001;2001
8001;2096
8001;2119
